Date,Pred_Close_MAMBA_h01,Delta_Close_pred_MAMBA_h01,Pred_Close_MAMBA_h05,Delta_Close_pred_MAMBA_h05,Pred_Close_MAMBA_h10,Delta_Close_pred_MAMBA_h10,Pred_Close_MAMBA_h20,Delta_Close_pred_MAMBA_h20,Pred_Close_MAMBA,Delta_Close_pred_MAMBA
2017-01-03,,,,,,,,,,
2017-01-04,,,,,,,,,,
2017-01-05,,,,,,,,,,
2017-01-06,,,,,,,,,,
2017-01-09,,,,,,,,,,
2017-01-10,,,,,,,,,,
2017-01-11,,,,,,,,,,
2017-01-12,,,,,,,,,,
2017-01-13,,,,,,,,,,
2017-01-17,,,,,,,,,,
2017-01-18,,,,,,,,,,
2017-01-19,,,,,,,,,,
2017-01-20,,,,,,,,,,
2017-01-23,,,,,,,,,,
2017-01-24,,,,,,,,,,
2017-01-25,,,,,,,,,,
2017-01-26,,,,,,,,,,
2017-01-27,,,,,,,,,,
2017-01-30,,,,,,,,,,
2017-01-31,,,,,,,,,,
2017-02-01,,,,,,,,,,
2017-02-02,,,,,,,,,,
2017-02-03,,,,,,,,,,
2017-02-06,,,,,,,,,,
2017-02-07,,,,,,,,,,
2017-02-08,,,,,,,,,,
2017-02-09,,,,,,,,,,
2017-02-10,,,,,,,,,,
2017-02-13,,,,,,,,,,
2017-02-14,,,,,,,,,,
2017-02-15,,,,,,,,,,
2017-02-16,,,,,,,,,,
2017-02-17,,,,,,,,,,
2017-02-21,,,,,,,,,,
2017-02-22,,,,,,,,,,
2017-02-23,,,,,,,,,,
2017-02-24,,,,,,,,,,
2017-02-27,,,,,,,,,,
2017-02-28,,,,,,,,,,
2017-03-01,,,,,,,,,,
2017-03-02,,,,,,,,,,
2017-03-03,,,,,,,,,,
2017-03-06,,,,,,,,,,
2017-03-07,,,,,,,,,,
2017-03-08,,,,,,,,,,
2017-03-09,,,,,,,,,,
2017-03-10,,,,,,,,,,
2017-03-13,,,,,,,,,,
2017-03-14,,,,,,,,,,
2017-03-15,,,,,,,,,,
2017-03-16,,,,,,,,,,
2017-03-17,,,,,,,,,,
2017-03-20,,,,,,,,,,
2017-03-21,,,,,,,,,,
2017-03-22,,,,,,,,,,
2017-03-23,,,,,,,,,,
2017-03-24,,,,,,,,,,
2017-03-27,,,,,,,,,,
2017-03-28,,,,,,,,,,
2017-03-29,,,,,,,,,,
